Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
BOSCH,AVT006,11/30/2021,WDD2221591A470147,No,Yes,Test Driver,Street,Steering takeover; Driver error; Accidental disengagement.
BOSCH,AVT006,11/30/2021,WDD2221591A470147,No,Yes,AV System,Street,Motion Control error - timeout
BOSCH,AVT006,12/9/2021,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Failure to yield during right turn at 2-way stop.
BOSCH,AVT006,12/9/2021,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Insufficient braking for stopped traffic ahead.
BOSCH,AVT006,12/9/2021,WDD2221591A470147,No,Yes,AV System,Street,The system disengaged because of an error with the fusion component. The system asked the operator to take control of the vehicle.
BOSCH,AVT006,12/9/2021,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; Emergency takeover for vehicle turning left into our lane during right turn.
BOSCH,AVT006,12/9/2021,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; Unexpected braking during right turn.
BOSCH,AVT006,12/9/2021,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Failure to stop for leading vehicle.
BOSCH,AVT006,1/14/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Failure to yield during unprotected left turn.
BOSCH,AVT006,1/14/2022,WDD2221591A470147,No,Yes,AV System,Street,Planning Behavior Timeout; 
BOSCH,AVT006,1/14/2022,WDD2221591A470147,No,Yes,AV System,Street,Pedestrian detection MRCRL1 state timeout; Pedestrian detection MRCRL2 state timeout; 
BOSCH,AVT006,1/14/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Driver error; Driver did not override planned stop at right-on-red scenario.
BOSCH,AVT006,1/14/2022,WDD2221591A470147,No,Yes,AV System,Street,Planning Behavior Timeout; 
BOSCH,AVT006,1/19/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; False positive yielding to pedestrian near crosswalk during left turn causing braking.
BOSCH,AVT006,1/19/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Emergency takeover in response to vehicle cutting into our lane.
BOSCH,AVT006,1/19/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Emergency takeover for pedestrian in roadway.
BOSCH,AVT006,1/19/2022,WDD2221591A470147,No,Yes,Test Driver,Street,"Distronic lever pushed; Accelerator pedal pressed; Unexpected braking event, in-lane driving."
BOSCH,AVT006,1/19/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; Unexpected braking during left turn with vehicle following behind.
BOSCH,AVT006,1/19/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; Failure to yield during unprotected left turn.
BOSCH,AVT006,1/20/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; Unexpected braking during left turn.
BOSCH,AVT006,1/20/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; Driver error; Engaged autonomous driving mode while above target speed.
BOSCH,AVT006,1/20/2022,WDD2221591A470147,No,Yes,AV System,Street,Localization state error; 
BOSCH,AVT006,1/20/2022,WDD2221591A470147,No,Yes,AV System,Street,Pedestrian detection MRCFR2 state timeout; 
BOSCH,AVT006,1/21/2022,WDD2221591A470147,No,Yes,Test Driver,Street,"Accelerator pedal pressed; Unexpected braking event, in-lane driving."
BOSCH,AVT006,1/21/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Brake pedal pressed; Driver takeover for incorrect traffic light state detection.
BOSCH,AVT006,1/21/2022,WDD2221591A470147,No,Yes,Test Driver,Street,Accelerator pedal pressed; False positive yielding to pedestrian near crosswalk during left turn causing braking.
BOSCH,AVT006,1/24/2022,WDD2221591A470147,No,Yes,AV System,Street,Fusion Dynamic World state timeout; 
BOSCH,AVT006,2/4/2022,WDD2221591A470147,No,Yes,AV System,Street,Motion Control error - timeout; 
BOSCH,AVT006,2/4/2022,WDD2221591A470147,No,Yes,AV System,Street,Localization state error; 
BOSCH,AVT006,2/10/2022,WDD2221591A470147,No,Yes,AV System,Street,Fusion Dynamic World state timeout; 
BOSCH,AVT006,2/10/2022,WDD2221591A470147,No,Yes,AV System,Street,Localization state error; 
